Year,Month,Segment,Region,KPI,Value Type,Value
2020,12,Clients,India,Lv1_Visitors,Actuals," 3,665,558 "
2020,12,Clients,India,Lv2_Visitors,Actuals," 2,689,569 "
2020,12,Clients,India,Lv3_Visitors,Actuals," 1,300,571 "
2020,12,Clients,India,Lv4_Visitors,Actuals," 717,608 "
2020,12,Clients,India,Lv3_Visitors,Actuals," 706,677 "
2020,12,Clients,India,Lv5_Visitors,Actuals," 255,723 "
2020,12,Clients,India,Lv4_Visitors,Actuals," 180,125 "
2020,12,Clients,India,Lv5_Visitors,Actuals," 74,768 "
2021,12,Clients,India,Lv1_Visitors,Actuals," 3,543,797 "
2021,12,Clients,India,Lv2_Visitors,Actuals," 2,199,420 "
2021,12,Clients,India,Lv3_Visitors,Actuals," 1,105,675 "
2021,12,Clients,India,Lv3_Visitors,Actuals," 677,096 "
2021,12,Clients,India,Lv4_Visitors,Actuals," 632,424 "
2021,12,Clients,India,Lv5_Visitors,Actuals," 216,178 "
2021,12,Clients,India,Lv4_Visitors,Actuals," 180,821 "
2021,12,Clients,India,Lv5_Visitors,Actuals," 69,345 "
2022,12,Clients,India,Lv1_Visitors,Actuals," 3,223,690 "
2022,12,Clients,India,Lv2_Visitors,Actuals," 2,106,583 "
2022,12,Clients,India,Lv3_Visitors,Actuals," 1,725,522 "
2022,12,Clients,India,Lv4_Visitors,Actuals," 748,273 "
2022,12,Clients,Uddepy,Lv1_Visitors,Actuals," 629,047 "
2022,12,Clients,Uddepy,Lv2_Visitors,Actuals," 378,447 "
2022,12,Clients,Uddepy,Lv3_Visitors,Actuals," 371,666 "
2022,12,Clients,Dehradun,Lv1_Visitors,Actuals," 241,370 "
2022,12,Clients,Ujjain,Lv1_Visitors,Actuals," 178,976 "
2022,12,Clients,Dehradun,Lv2_Visitors,Actuals," 149,024 "
2022,12,Clients,Indore,Lv1_Visitors,Actuals," 119,475 "
2022,12,Clients,Uddepy,Lv4_Visitors,Actuals," 118,950 "
2022,12,Clients,Dehradun,Lv3_Visitors,Actuals," 118,570 "
2022,12,Clients,Ujjain,Lv2_Visitors,Actuals," 112,987 "
2022,12,Clients,Ujjain,Lv3_Visitors,Actuals," 78,884 "
2022,12,Clients,India,Lv5_Visitors,Actuals," 75,211 "
2022,12,Clients,Indore,Lv2_Visitors,Actuals," 72,804 "
2022,12,Clients,Indore,Lv3_Visitors,Actuals," 64,064 "
2022,12,Clients,Dehradun,Lv4_Visitors,Actuals," 53,146 "
2022,12,Clients,Ujjain,Lv4_Visitors,Actuals," 37,404 "
2022,12,Clients,Indore,Lv4_Visitors,Actuals," 30,773 "
2022,12,Clients,Uddepy,Lv5_Visitors,Actuals," 14,855 "
2022,12,Clients,Dehradun,Lv5_Visitors,Actuals," 7,880 "
2022,12,Clients,Ujjain,Lv5_Visitors,Actuals," 5,632 "
2022,12,Clients,Indore,Lv5_Visitors,Actuals," 4,335 "
2020,11,Clients,India,Lv1_Visitors,Actuals," 3,634,761 "
2020,11,Clients,India,Lv2_Visitors,Actuals," 2,510,682 "
2020,11,Clients,India,Lv3_Visitors,Actuals," 1,346,038 "
2020,11,Clients,India,Lv3_Visitors,Actuals," 751,349 "
2020,11,Clients,India,Lv4_Visitors,Actuals," 750,710 "
2020,11,Clients,India,Lv5_Visitors,Actuals," 272,017 "
2020,11,Clients,India,Lv4_Visitors,Actuals," 187,646 "
2020,11,Clients,India,Lv5_Visitors,Actuals," 81,680 "
2021,11,Clients,India,Lv1_Visitors,Actuals," 3,665,788 "
2021,11,Clients,India,Lv2_Visitors,Actuals," 2,261,094 "
2021,11,Clients,India,Lv3_Visitors,Actuals," 1,154,974 "
2021,11,Clients,India,Lv4_Visitors,Actuals," 694,316 "
2021,11,Clients,India,Lv3_Visitors,Actuals," 688,464 "
2021,11,Clients,India,Lv5_Visitors,Actuals," 243,224 "
